0.61;3.189;22.789;82.045;989.404
0.62;3.421;23.608;81.917;989.387
0.63;3.661;24.426;81.847;989.368
0.64;3.91;25.245;81.82;989.349
0.65;4.166;26.063;81.824;989.329
0.66;4.431;26.881;81.848;989.309
0.67;4.704;27.7;81.884;989.288
0.68;4.985;28.519;81.923;989.266
0.69;5.274;29.339;81.959;989.243
0.7;5.572;30.158;81.987;989.221
0.71;5.877;30.978;82.004;989.197
0.72;6.191;31.798;82.006;989.173
0.73;6.513;32.618;81.994;989.148
0.74;6.844;33.438;81.967;989.122
0.75;7.182;34.257;81.928;989.096
0.76;7.529;35.076;81.876;989.069
0.77;7.884;35.894;81.817;989.042
0.78;8.247;36.711;81.752;989.014
0.79;8.618;37.528;81.684;988.985
0.805;9.19;38.752;81.574;988.941
0.828;10.083;40.584;81.454;988.872
0.861;11.499;43.328;81.291;988.763
0.911;13.766;47.382;81.095;988.588
0.961;16.236;51.426;80.895;988.397
1.011;18.909;55.46;80.702;988.191
1.061;21.782;59.485;80.503;987.969
1.111;24.857;63.5;80.306;987.732
1.161;28.132;67.505;80.111;987.479
1.211;31.607;71.501;79.917;987.211
1.261;35.282;75.487;79.724;986.927
1.311;39.156;79.464;79.527;986.628
1.361;43.228;83.431;79.325;986.314
1.411;47.498;87.388;79.119;985.984
1.461;51.967;91.334;78.907;985.64
1.511;56.632;95.27;78.689;985.28
1.561;61.493;99.195;78.467;984.904
1.611;66.551;103.109;78.236;984.514
1.661;71.804;107.011;78.001;984.108
1.711;77.252;110.901;77.768;983.688
1.761;82.894;114.78;77.532;983.252
1.811;88.729;118.646;77.292;982.802
1.861;94.758;122.501;77.047;982.337
1.911;100.979;126.344;76.806;981.857
1.961;107.392;130.175;76.583;981.362
2.011;113.996;133.994;76.363;980.852
2.061;120.791;137.804;76.162;980.327
2.111;127.777;141.603;75.971;979.788
2.161;134.952;145.393;75.788;979.234
2.211;142.316;149.175;75.604;978.666
2.261;149.869;152.947;75.432;978.083
2.311;157.61;156.71;75.261;977.486
2.361;165.54;160.465;75.086;976.874
2.411;173.657;164.211;74.904;976.247
2.461;181.961;167.948;74.709;975.606
2.511;190.451;171.675;74.497;974.951
2.561;199.128;175.39;74.268;974.281
2.611;207.99;179.094;74.022;973.597
2.661;217.037;182.785;73.762;972.899
2.711;226.268;186.462;73.48;972.186
2.761;235.683;190.125;73.178;971.46
2.811;245.28;193.772;72.857;970.719
2.861;255.06;197.403;72.517;969.964
2.911;265.02;201.016;72.169;969.195
2.961;275.161;204.612;71.825;968.413
3.011;285.481;208.19;71.466;967.616
3.061;295.979;211.752;71.162;966.806
3.111;306.656;215.299;70.878;965.982
3.161;317.509;218.833;70.615;965.144
3.211;328.539;222.353;70.359;964.293
3.261;339.744;225.861;70.133;963.428
3.311;351.125;229.359;69.914;962.193
3.361;362.68;232.845;69.692;960.93
3.411;374.409;236.32;69.437;959.649
3.461;386.311;239.781;69.155;958.348
3.511;398.387;243.227;68.831;957.029
3.561;410.634;246.655;68.462;955.691
3.611;423.052;250.065;68.075;954.334
3.661;435.64;253.455;67.685;952.959
3.711;448.397;256.825;67.286;951.565
3.761;461.322;260.175;66.89;950.153
3.811;474.414;263.506;66.499;948.722
3.861;487.672;266.817;66.109;947.274
3.911;501.095;270.11;65.772;945.807
3.961;514.683;273.387;65.486;944.323
4.011;528.434;276.651;65.21;942.82
4.061;542.348;279.9;64.924;941.3
4.111;556.423;283.135;64.645;939.762
4.161;570.661;286.356;64.313;938.207
4.211;585.059;289.558;63.929;936.634
4.261;599.616;292.74;63.514;935.043
4.311;614.332;295.9;63.07;933.435
4.361;629.206;299.038;62.618;931.81
4.411;644.236;302.154;62.189;930.168
